,movie,year,imdb,metascore,votes,duration (min),directors,genres,income
259,Mænd & høns,2015,6.7,64,9272,104,Anders Thomas Jensen,"
Comedy, Drama, Mystery            ",0.03
260,The Bronze,2015,6.0,44,9132,100,Bryan Buckley,"
Comedy, Drama, Sport            ",0.62
261,The Perfect Guy,2015,5.6,36,9085,100,David M. Rosenthal,"
Crime, Drama, Horror            ",57.02
262,Lazer Team,2015,5.6,42,8786,102,Matt Hullum,"
Action, Comedy, Sci-Fi            ",1.15
263,Krigen,2015,7.1,81,8742,115,Tobias Lindholm,"
Crime, Drama, War            ",0.12
264,Queen of the Desert,2015,5.7,39,8721,128,Werner Herzog,"
Adventure, Biography, Drama            ",0.01
265,Extraction,2015,4.1,25,8701,92,Steven C. Miller,"
Action, Thriller            ",0.01
266,Miles Ahead,2015,6.4,64,8574,100,Don Cheadle,"
Biography, Drama, Music            ",2.61
267,Fourth Man Out,2015,6.7,43,8433,86,Andrew Nackman,"
Comedy, Drama            ",0.01
268,A Royal Night Out,2015,6.5,58,8360,97,Julian Jarrold,"
Comedy, Drama, Romance            ",0.2
269,Man Down,2015,5.9,27,8359,90,Dito Montiel,"
Drama, Thriller            ",0.01
270,Desierto,2015,6.0,51,8342,88,Jonás Cuarón,"
Drama, Thriller            ",1.83
271,A Christmas Horror Story,2015,5.7,49,8336,99,"
Grant Harvey, 
Steven Hoban, 
Brett Sullivan","
Fantasy, Horror, Mystery            ",0.01
272,El Club,2015,7.2,73,8275,98,Pablo Larraín,"
Comedy, Drama, Mystery            ",0.03
273,Kill Your Friends,2015,6.0,45,8257,103,Owen Harris,"
Comedy, Crime, Music            ",0.01
274,Chi-Raq,2015,5.7,77,8198,127,Spike Lee,"
Comedy, Crime, Drama            ",2.65
275,The Ones Below,2015,6.1,63,8150,87,David Farr,"
Drama, Thriller            ",0.01
276,Strangerland,2015,5.2,42,8065,112,Kim Farrant,"
Drama, Mystery, Thriller            ",0.02
277,Moonwalkers,2015,6.1,39,7851,107,Antoine Bardou-Jacquet,"
Action, Comedy            ",0.01
278,Criminal Activities,2015,5.8,51,7801,94,Jackie Earle Haley,"
Crime, Drama, Thriller            ",0.01
279,Jeruzalem,2015,4.7,45,7716,94,"
Doron Paz, 
Yoav Paz","
Horror            ",0.01
280,Baskin,2015,5.8,58,7580,97,Can Evrenol,"
Crime, Drama, Fantasy            ",0.01
281,People Places Things,2015,6.9,68,7579,85,Jim Strouse,"
Comedy, Romance            ",0.01
282,Elser,2015,7.0,58,7365,114,Oliver Hirschbiegel,"
Biography, Drama, War            ",0.16
283,An,2015,7.4,60,7292,113,Naomi Kawase,"
Drama            ",0.12
284,Lila & Eve,2015,5.8,45,7253,94,Charles Stone III,"
Crime, Drama, Mystery            ",0.04
285,Enas allos kosmos,2015,7.4,61,7169,113,Christopher Papakaliatis,"
Drama, Romance            ",0.01
286,Born to Be Blue,2015,6.9,64,7163,97,Robert Budreau,"
Biography, Drama, Music            ",0.83
287,Accidental Love,2015,4.1,20,7128,100,David O. Russell,"
Comedy, Romance            ",0.01
288,Into the Grizzly Maze,2015,5.3,43,7081,94,David Hackl,"
Action, Adventure, Drama            ",0.01
289,The Family Fang,2015,6.1,67,7062,105,Jason Bateman,"
Comedy, Drama, Mystery            ",0.24
290,Racing Extinction,2015,8.2,81,6991,90,Louie Psihoyos,"
Documentary, News            ",0.01
291,Jem and the Holograms,2015,4.1,42,6759,118,Jon M. Chu,"
Adventure, Drama, Family            ",2.18
292,Careful What You Wish For,2015,5.7,32,6736,91,Elizabeth Allen Rosenbaum,"
Drama, Thriller            ",0.01
293,Life,2015,6.0,59,6699,111,Anton Corbijn,"
Biography, Drama            ",0.01
294,Closet Monster,2015,7.0,81,6675,90,Stephen Dunn,"
Drama, Fantasy, Mystery            ",0.04
295,Do You Believe?,2015,6.1,22,6524,120,Jon Gunn,"
Drama            ",12.99
296,A Girl Like Her,2015,7.0,54,6413,91,Amy S. Weber,"
Drama            ",0.01
297,Listen to Me Marlon,2015,8.2,87,6401,103,Stevan Riley,"
Documentary, Biography            ",0.43
298,Hyena Road,2015,6.5,44,6295,120,Paul Gross,"
Action, Drama, War            ",0.01
299,Staten Island Summer,2015,5.6,41,6290,108,Rhys Thomas,"
Comedy            ",0.01
300,I'll See You in My Dreams,2015,6.7,75,6282,92,Brett Haley,"
Comedy, Drama, Romance            ",7.43
301,Mia madre,2015,6.8,70,6257,106,Nanni Moretti,"
Drama            ",0.3
302,Zipper,2015,5.7,39,6175,112,Mora Stephens,"
Drama, Thriller            ",0.01
303,Woodlawn,2015,6.5,57,6129,123,"
Andrew Erwin, 
Jon Erwin","
Drama, Sport            ",14.39
304,Captive,2015,5.4,36,6061,97,Jerry Jameson,"
Action, Crime, Drama            ",2.56
305,The Nightmare,2015,5.8,68,6057,91,Rodney Ascher,"
Documentary, Horror            ",0.01
306,Krisha,2015,7.2,86,6050,83,Trey Edward Shults,"
Drama            ",0.14
307,Tumbledown,2015,6.2,60,5994,105,Sean Mewshaw,"
Comedy, Music, Romance            ",0.14
308,The True Cost,2015,7.7,46,5984,92,Andrew Morgan,"
Documentary, Drama, News            ",0.01
309,Results,2015,5.4,73,5857,105,Andrew Bujalski,"
Comedy, Romance            ",0.1
310,Aferim!,2015,7.6,84,5834,108,Radu Jude,"
Adventure, Comedy, Drama            ",0.1
311,I Saw the Light,2015,5.7,47,5748,123,Marc Abraham,"
Biography, Drama, Music            ",1.65
312,The Hunting Ground,2015,7.4,77,5632,103,Kirby Dick,"
Documentary            ",0.41
313,Pound of Flesh,2015,5.1,41,5580,104,Ernie Barbarash,"
Action, Thriller            ",0.01
314,Best of Enemies,2015,7.6,77,5579,87,"
Robert Gordon, 
Morgan Neville","
Documentary, Biography, History            ",0.89
315,Avril et le monde truqué,2015,7.3,85,5573,105,"
Christian Desmares, 
Franck Ekinci","
Animation, Adventure, Comedy            ",0.29
316,Every Thing Will Be Fine,2015,5.4,32,5477,118,Wim Wenders,"
Drama            ",0.01
317,Saat po long 2,2015,6.8,73,5456,120,Soi Cheang,"
Action, Crime, Thriller            ",0.01
318,Steve Jobs: The Man in the Machine,2015,6.9,72,5429,128,Alex Gibney,"
Documentary, Biography            ",0.49
319,Évolution,2015,5.9,77,5413,81,Lucile Hadzihalilovic,"
Drama, Mystery, Sci-Fi            ",0.01
320,James White,2015,7.1,83,5331,85,Josh Mond,"
Drama            ",0.09
321,Queen of Earth,2015,6.3,77,5252,90,Alex Ross Perry,"
Drama, Mystery, Thriller            ",0.08
322,Córki dancingu,2015,6.3,72,5161,92,Agnieszka Smoczynska,"
Comedy, Drama, Fantasy            ",0.1
323,My All-American,2015,7.2,34,5135,118,Angelo Pizzo,"
Biography, Drama, Sport            ",2.25
324,La loi du marché,2015,6.8,74,5123,91,Stéphane Brizé,"
Drama            ",0.11
325,3 Generations,2015,5.9,47,5120,92,Gaby Dellal,"
Drama            ",0.07
326,Digging for Fire,2015,5.8,69,5116,85,Joe Swanberg,"
Drama            ",0.12
327,Maryland,2015,6.2,66,5102,98,Alice Winocour,"
Drama, Thriller            ",0.01
328,Bound to Vengeance,2015,5.6,27,5100,93,José Manuel Cravioto,"
Horror, Thriller            ",0.01
329,Le dernier loup,2015,6.7,58,5095,121,Jean-Jacques Annaud,"
Adventure, Drama            ",0.21
330,The Childhood of a Leader,2015,6.1,68,5054,115,Brady Corbet,"
Drama            ",0.01
331,Hitchcock/Truffaut,2015,7.4,79,5051,79,Kent Jones,"
Documentary            ",0.3
332,Amsal,2015,7.3,64,5021,140,Dong-hoon Choi,"
Action, Drama            ",1.9
333,"10,000 Saints",2015,5.9,62,4964,113,"
Shari Springer Berman, 
Robert Pulcini","
Comedy, Drama, Music            ",0.06
334,The Diabolical,2015,4.7,25,4935,86,Alistair Legrand,"
Horror, Sci-Fi            ",0.01
335,Manifesto,2015,6.7,72,4894,95,Julian Rosefeldt,"
Drama            ",0.14
336,Bloodsucking Bastards,2015,5.7,50,4809,86,Brian James O'Connell,"
Action, Comedy, Horror            ",0.01
337,Pali Road,2015,7.4,38,4698,92,Jonathan Lim,"
Drama, Fantasy, Mystery            ",0.01
338,The Legend of Barney Thomson,2015,6.3,59,4673,96,Robert Carlyle,"
Comedy, Crime            ",0.01
339,I Smile Back,2015,6.1,59,4665,85,Adam Salky,"
Drama            ",0.06
340,Martyrs,2015,4.0,22,4629,86,"
Kevin Goetz, 
Michael Goetz","
Drama, Horror, Thriller            ",0.01
341,The Runner,2015,4.7,39,4623,90,Austin Stark,"
Drama            ",0.01
342,Already Tomorrow in Hong Kong,2015,6.5,54,4621,78,Emily Ting,"
Comedy, Romance            ",0.01
343,Janis: Little Girl Blue,2015,7.4,74,4546,103,Amy Berg,"
Documentary, Biography, Music            ",0.41
344,Marguerite,2015,7.0,76,4524,129,Xavier Giannoli,"
Comedy, Drama, Music            ",0.5
345,Landmine Goes Click,2015,6.0,35,4498,105,Levan Bakhia,"
Action, Crime, Drama            ",0.01
346,Twinsters,2015,7.6,81,4460,89,"
Samantha Futerman, 
Ryan Miyamoto","
Documentary, Biography, Family            ",0.01
347,Diablo,2015,4.5,35,4448,90,Lawrence Roeck,"
Action, Adventure, Thriller            ",0.01
348,Shan he gu ren,2015,6.8,79,4376,126,Zhangke Jia,"
Drama, Romance            ",0.08
349,Demon,2015,6.1,80,4355,94,Marcin Wrona,"
Drama, Fantasy, Horror            ",0.1
350,Don Verdean,2015,5.4,39,4340,90,Jared Hess,"
Adventure, Comedy, Drama            ",0.01
351,Stung,2015,5.1,46,4311,87,Benni Diez,"
Action, Adventure, Comedy            ",0.01
352,I Am Michael,2015,5.6,56,4305,98,Justin Kelly,"
Biography, Drama, Romance            ",0.01
353,The Boy,2015,5.4,45,4290,105,Craig William Macneill,"
Drama, Horror, Thriller            ",0.01
354,Zhuo yao ji,2015,6.1,53,4217,117,Raman Hui,"
Action, Adventure, Comedy            ",0.02
355,D'Ardennen,2015,6.8,47,4212,96,Robin Pront,"
Drama            ",0.01
356,He Named Me Malala,2015,6.9,61,4203,88,Davis Guggenheim,"
Documentary            ",2.64
357,Parched,2015,7.6,67,4200,116,Leena Yadav,"
Drama            ",0.01
358,Byuti insaideu,2015,7.4,48,4152,127,Jong-Yeol Baek,"
Drama, Romance            ",0.11
359,De Palma,2015,7.4,83,4133,110,"
Noah Baumbach, 
Jake Paltrow","
Documentary, Biography            ",0.16
360,Miekkailija,2015,7.2,60,4102,99,Klaus Härö,"
Biography, Drama, History            ",0.1
361,The Fits,2015,6.7,90,4078,72,Anna Rose Holmer,"
Drama, Music            ",0.17
362,Nina Forever,2015,5.6,75,4070,98,"
Ben Blaine, 
Chris Blaine","
Comedy, Drama, Horror            ",0.01
363,The Benefactor,2015,5.1,40,4064,93,Andrew Renzi,"
Drama            ",0.01
364,Contracted: Phase II,2015,5.1,35,4025,78,Josh Forbes,"
Drama, Horror, Thriller            ",0.01
365,The Daughter,2015,6.6,62,3989,96,Simon Stone,"
Drama            ",0.03
366,Slumlord,2015,5.1,41,3960,87,Victor Zarcoff,"
Crime, Drama, Horror            ",0.01
367,Life on the Line,2015,5.2,24,3958,97,David Hackl,"
Action, Drama            ",0.01
368,The Confines,2015,5.0,32,3955,86,Eytan Rockaway,"
Horror, Mystery, Thriller            ",0.01
369,V luchakh solntsa,2015,7.4,81,3942,106,Vitaliy Manskiy,"
Documentary            ",0.07
370,The Great Gilly Hopkins,2015,6.5,47,3939,99,Stephen Herek,"
Comedy, Drama, Family            ",0.01
371,Advantageous,2015,6.2,59,3909,90,Jennifer Phang,"
Drama, Family, Sci-Fi            ",0.01
372,Anesthesia,2015,6.1,55,3820,90,Tim Blake Nelson,"
Crime, Drama, Thriller            ",0.02
373,Mojave,2015,5.2,41,3793,93,William Monahan,"
Drama, Thriller            ",0.01
374,The Girl in the Book,2015,6.1,68,3731,86,Marya Cohn,"
Drama            ",0.01
375,American Hero,2015,4.9,42,3678,86,Nick Love,"
Action, Comedy, Drama            ",0.01
376,Bite,2015,4.9,57,3651,88,Chad Archibald,"
Horror            ",0.01
377,Band of Robbers,2015,6.0,57,3650,95,"
Aaron Nee, 
Adam Nee","
Adventure, Comedy, Crime            ",0.02
378,Partisan,2015,5.8,50,3633,94,Ariel Kleiman,"
Drama, Thriller            ",0.01
379,The Witness,2015,7.0,79,3632,89,James D. Solomon,"
Documentary, Biography, Crime            ",0.01
380,The Adderall Diaries,2015,5.2,42,3621,87,Pamela Romanowsky,"
Crime, Drama, Thriller            ",0.01
381,Chevalier,2015,6.3,76,3619,105,Athina Rachel Tsangari,"
Comedy, Drama            ",0.03
382,Being Charlie,2015,6.3,47,3613,97,Rob Reiner,"
Drama, Romance            ",0.01
383,Tanna,2015,6.9,75,3611,104,"
Martin Butler, 
Bentley Dean","
Adventure, Drama, Romance            ",0.01
384,Der Staat gegen Fritz Bauer,2015,7.1,61,3606,105,Lars Kraume,"
Biography, Drama, Thriller            ",0.28
385,Black,2015,7.1,74,3570,95,"
Adil El Arbi, 
Bilall Fallah","
Action, Crime, Drama            ",0.01
386,Welcome to Leith,2015,7.0,78,3556,85,"
Michael Beach Nichols, 
Christopher K. Walker","
Documentary            ",0.04
387,Klovn Forever,2015,6.3,57,3543,99,Mikkel Nørgaard,"
Comedy, Drama            ",0.01
388,Meadowland,2015,5.8,67,3486,105,Reed Morano,"
Drama            ",0.01
389,Monkey Kingdom,2015,7.3,72,3442,81,"
Mark Linfield, 
Alastair Fothergill","
Documentary            ",16.43
390,Septembers of Shiraz,2015,6.1,16,3389,110,Wayne Blair,"
Thriller            ",0.01
391,Mi gran noche,2015,6.0,74,3382,100,Álex de la Iglesia,"
Comedy            ",0.01
392,Ma ma,2015,6.4,31,3374,111,Julio Medem,"
Drama            ",0.05
393,Strings,2015,6.2,36,3360,112,Daniel Duran,"
Drama, Music            ",0.01
394,Gokudô daisenso,2015,5.5,62,3356,115,Takashi Miike,"
Action, Comedy, Horror            ",0.01
395,Lolo,2015,5.7,50,3324,99,Julie Delpy,"
Comedy            ",0.02
396,The Girl in the Photographs,2015,4.4,32,3315,95,Nick Simon,"
Crime, Horror, Thriller            ",0.01
397,Last Days in the Desert,2015,5.6,67,3296,98,Rodrigo García,"
Adventure, Drama            ",0.01
398,The Preppie Connection,2015,6.1,34,3283,95,Joseph Castelo,"
Crime, Drama            ",0.01
399,La belle saison,2015,6.7,72,3155,105,Catherine Corsini,"
Drama, Romance            ",0.04
400,The Girl King,2015,5.9,37,3147,106,Mika Kaurismäki,"
Biography, Drama, History            ",0.01
401,90 Minutes in Heaven,2015,4.7,28,3130,121,Michael Polish,"
Drama            ",4.7
402,Last Cab to Darwin,2015,7.2,70,3126,123,Jeremy Sims,"
Comedy, Drama, Romance            ",0.03
403,#Horror,2015,3.0,42,3123,101,Tara Subkoff,"
Crime, Drama, Horror            ",0.01
404,Stonewall,2015,5.1,30,3106,129,Roland Emmerich,"
Drama, History            ",0.19
405,A Tale of Love and Darkness,2015,6.0,55,3098,95,Natalie Portman,"
Biography, Drama, History            ",0.57
406,Xun long jue,2015,6.0,48,3095,127,Wuershan,"
Action, Adventure, Drama            ",1.24
407,Road Games,2015,5.4,44,3056,95,Abner Pastoll,"
Horror, Mystery, Thriller            ",0.01
408,Desde allá,2015,6.6,73,3048,93,Lorenzo Vigas,"
Drama, Romance            ",0.03
409,Sorgenfri,2015,5.6,60,3036,85,Bo Mikkelsen,"
Horror, Thriller            ",0.01
410,Uncle Nick,2015,7.0,36,3020,93,Chris Kasick,"
Comedy, Sport            ",0.01
411,Dark Summer,2015,4.3,31,3019,81,Paul Solet,"
Horror, Thriller            ",0.01
412,I Am Chris Farley,2015,7.5,58,3013,96,"
Brent Hodge, 
Derik Murray","
Documentary, Biography            ",0.01
413,Ji-geum-eun-mat-go-geu-ddae-neun-teul-li-da,2015,7.2,81,2971,121,Sang-soo Hong,"
Drama            ",0.01
414,La tête haute,2015,7.0,59,2968,120,Emmanuelle Bercot,"
Drama            ",0.02
415,Sunset Song,2015,6.4,72,2965,135,Terence Davies,"
Drama            ",0.16
416,Walking with the Dead,2015,3.5,9,2939,88,Scott Dow,"
Comedy, Horror            ",0.01
417,Wild Horses,2015,4.8,44,2907,100,Robert Duvall,"
Crime, Drama, Western            ",0.01
418,Trois souvenirs de ma jeunesse,2015,6.8,87,2884,123,Arnaud Desplechin,"
Drama, Romance            ",0.27
419,Lao pao er,2015,7.0,57,2882,134,Hu Guan,"
Action, Drama            ",1.42
420,Unexpected,2015,5.7,65,2880,90,Kris Swanberg,"
Comedy, Drama            ",0.01
421,Demain,2015,8.1,71,2858,118,"
Cyril Dion, 
Mélanie Laurent","
Documentary            ",0.04
422,Tab Hunter Confidential,2015,7.7,60,2836,90,Jeffrey Schwarz,"
Documentary, Biography            ",0.01
423,Hellions,2015,4.2,34,2807,80,Bruce McDonald,"
Drama, Horror, Thriller            ",0.01
424,How to Plan an Orgy in a Small Town,2015,5.5,39,2798,101,Jeremy LaLonde,"
Comedy, Drama            ",0.01
425,Deadpool,2016,8.0,65,831374,108,Tim Miller,"
Action, Adventure, Comedy            ",363.07
426,Captain America: Civil War,2016,7.8,75,595003,147,"
Anthony Russo, 
Joe Russo","
Action, Adventure, Sci-Fi            ",408.08
427,Batman v Superman: Dawn of Justice,2016,6.5,44,582007,151,Zack Snyder,"
Action, Adventure, Fantasy            ",330.36
428,Suicide Squad,2016,6.0,40,539808,123,David Ayer,"
Action, Adventure, Fantasy            ",325.1
429,Doctor Strange,2016,7.5,72,526707,115,Scott Derrickson,"
Action, Adventure, Fantasy            ",232.64
430,Arrival,2016,7.9,81,523938,116,Denis Villeneuve,"
Drama, Mystery, Sci-Fi            ",100.55
431,Rogue One,2016,7.8,65,484739,133,Gareth Edwards,"
Action, Adventure, Sci-Fi            ",532.18
432,La La Land,2016,8.0,93,442084,128,Damien Chazelle,"
Comedy, Drama, Music            ",151.1
433,Zootopia,2016,8.0,78,389337,108,"
Byron Howard, 
Rich Moore, 
Jared Bush","
Animation, Adventure, Comedy            ",341.27
434,Hacksaw Ridge,2016,8.1,71,373293,139,Mel Gibson,"
Biography, Drama, History            ",67.21
435,Fantastic Beasts and Where to Find Them,2016,7.3,66,370336,132,David Yates,"
Adventure, Family, Fantasy            ",234.04
436,Split,2016,7.3,62,367566,117,M. Night Shyamalan,"
Horror, Thriller            ",138.29
437,X-Men: Apocalypse,2016,7.0,52,362913,144,Bryan Singer,"
Action, Adventure, Sci-Fi            ",155.44
438,Passengers,2016,7.0,41,315005,116,Morten Tyldum,"
Drama, Romance, Sci-Fi            ",100.01
439,10 Cloverfield Lane,2016,7.2,76,263653,103,Dan Trachtenberg,"
Drama, Horror, Mystery            ",71.9
440,The Nice Guys,2016,7.4,70,243997,116,Shane Black,"
Action, Comedy, Crime            ",36.26
441,The Jungle Book,2016,7.4,77,243455,106,Jon Favreau,"
Adventure, Drama, Family            ",364.0
442,The Accountant,2016,7.3,51,235773,128,Gavin O'Connor,"
Action, Crime, Drama            ",86.26
443,Moonlight,2016,7.4,99,232283,111,Barry Jenkins,"
Drama            ",27.85
444,Moana,2016,7.6,81,229168,107,"
Ron Clements, 
John Musker, 
Don Hall, 
Chris Williams","
Animation, Adventure, Comedy            ",248.76
445,Warcraft,2016,6.8,32,227440,123,Duncan Jones,"
Action, Adventure, Fantasy            ",47.37
446,Now You See Me 2,2016,6.5,46,219475,129,Jon M. Chu,"
Action, Adventure, Comedy            ",65.08
447,Manchester by the Sea,2016,7.8,96,217591,137,Kenneth Lonergan,"
Drama            ",47.7
448,Finding Dory,2016,7.3,77,216842,97,"
Andrew Stanton, 
Angus MacLane","
Animation, Adventure, Comedy            ",486.3
449,Star Trek Beyond,2016,7.1,68,211784,122,Justin Lin,"
Action, Adventure, Sci-Fi            ",158.85
450,Nocturnal Animals,2016,7.5,67,208310,116,Tom Ford,"
Drama, Thriller            ",10.64
451,Sully,2016,7.4,74,206479,96,Clint Eastwood,"
Biography, Drama            ",125.07
452,The Conjuring 2,2016,7.3,65,198803,134,James Wan,"
Horror, Mystery, Thriller            ",102.47
453,Jason Bourne,2016,6.6,58,192322,123,Paul Greengrass,"
Action, Thriller            ",162.43
454,Don't Breathe,2016,7.1,71,190438,88,Fede Alvarez,"
Crime, Horror, Thriller            ",89.22
455,Ghostbusters,2016,5.2,60,189006,116,Paul Feig,"
Action, Comedy, Fantasy            ",128.34
456,Lion,2016,8.0,69,184947,118,Garth Davis,"
Biography, Drama            ",51.74
457,Hell or High Water,2016,7.6,88,179256,102,David Mackenzie,"
Action, Crime, Drama            ",26.86
458,Me Before You,2016,7.4,51,178520,106,Thea Sharrock,"
Drama, Romance            ",56.25
459,Hidden Figures,2016,7.8,74,174058,127,Theodore Melfi,"
Biography, Drama, History            ",169.61
460,The Magnificent Seven,2016,6.9,54,170172,132,Antoine Fuqua,"
Action, Adventure, Western            ",93.43
461,Assassin's Creed,2016,5.7,36,168843,115,Justin Kurzel,"
Action, Adventure, Sci-Fi            ",54.65
462,The Secret Life of Pets,2016,6.5,61,165858,87,"
Chris Renaud, 
Yarrow Cheney","
Animation, Adventure, Comedy            ",368.38
463,The Promise,2016,6.0,49,164810,133,Terry George,"
Drama, History            ",0.01
464,Captain Fantastic,2016,7.9,72,162509,118,Matt Ross,"
Comedy, Drama            ",5.88
465,Sausage Party,2016,6.2,66,160791,89,"
Greg Tiernan, 
Conrad Vernon","
Animation, Adventure, Comedy            ",97.66
466,Independence Day: Resurgence,2016,5.2,32,156673,120,Roland Emmerich,"
Action, Adventure, Sci-Fi            ",103.14
467,War Dogs,2016,7.1,57,156356,114,Todd Phillips,"
Comedy, Crime, Drama            ",43.02
468,The Girl on the Train,2016,6.5,48,153522,112,Tate Taylor,"
Crime, Drama, Mystery            ",75.4
469,The Legend of Tarzan,2016,6.2,44,151752,110,David Yates,"
Action, Adventure, Drama            ",126.64
470,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,142180,127,Tim Burton,"
Adventure, Drama, Fantasy            ",87.24
471,Central Intelligence,2016,6.3,52,141438,107,Rawson Marshall Thurber,"
Action, Comedy, Crime            ",127.44
472,Inferno,2016,6.2,42,140609,121,Ron Howard,"
Action, Adventure, Crime            ",34.34
473,Kimi no na wa.,2016,8.4,79,139712,106,Makoto Shinkai,"
Animation, Drama, Fantasy            ",5.02
474,Deepwater Horizon,2016,7.1,68,135065,107,Peter Berg,"
Action, Drama, History            ",61.28
475,Allied,2016,7.1,60,127585,124,Robert Zemeckis,"
Action, Drama, Romance            ",40.07
476,London Has Fallen,2016,5.9,28,126360,99,Babak Najafi,"
Action, Thriller            ",62.68
477,Jack Reacher: Never Go Back,2016,6.1,47,123693,118,Edward Zwick,"
Action, Crime, Thriller            ",58.7
478,Snowden,2016,7.3,58,120856,134,Oliver Stone,"
Biography, Drama, Thriller            ",21.59
479,Sing,2016,7.1,59,118238,108,"
Garth Jennings, 
Christophe Lourdelet","
Animation, Comedy, Family            ",270.4
480,Kung Fu Panda 3,2016,7.1,66,118191,95,"
Alessandro Carloni, 
Jennifer Yuh Nelson","
Animation, Action, Adventure            ",143.53
481,The Great Wall,2016,6.0,42,113173,103,Yimou Zhang,"
Action, Adventure, Fantasy            ",45.54
482,Busanhaeng,2016,7.5,72,112433,118,Sang-ho Yeon,"
Action, Horror, Thriller            ",2.13
483,"Hail, Caesar!",2016,6.3,72,112430,106,"
Ethan Coen, 
Joel Coen","
Comedy, Drama, Music            ",30.08
484,The Shallows,2016,6.3,59,108809,86,Jaume Collet-Serra,"
Drama, Horror, Thriller            ",55.12
485,Kubo and the Two Strings,2016,7.8,84,106965,101,Travis Knight,"
Animation, Action, Adventure            ",48.02
486,13 Hours,2016,7.3,48,105061,144,Michael Bay,"
Action, Drama, History            ",52.85
487,Neighbors 2: Sorority Rising,2016,5.7,58,104221,92,Nicholas Stoller,"
Comedy            ",55.29
488,Nerve,2016,6.5,58,104071,96,"
Henry Joost, 
Ariel Schulman","
Action, Adventure, Crime            ",38.56
489,Dirty Grandpa,2016,5.9,21,102818,102,Dan Mazer,"
Comedy            ",35.54
490,Lights Out,2016,6.3,58,102454,81,David F. Sandberg,"
Drama, Horror, Mystery            ",67.27
491,Bad Moms,2016,6.2,60,102347,100,"
Jon Lucas, 
Scott Moore","
Comedy            ",113.26
492,The Founder,2016,7.2,66,100393,115,John Lee Hancock,"
Biography, Drama, History            ",12.79
493,Allegiant,2016,5.7,33,96777,120,Robert Schwentke,"
Action, Adventure, Mystery            ",66.18
494,Gods of Egypt,2016,5.4,25,96156,127,Alex Proyas,"
Action, Adventure, Fantasy            ",31.15
495,Swiss Army Man,2016,7.0,64,93216,97,"
Dan Kwan, 
Daniel Scheinert","
Comedy, Drama, Fantasy            ",4.21
496,The 5th Wave,2016,5.2,33,91629,112,J Blakeson,"
Action, Adventure, Drama            ",34.91
497,Why Him?,2016,6.2,39,90839,111,John Hamburg,"
Comedy            ",60.27
498,The Edge of Seventeen,2016,7.3,77,89504,104,Kelly Fremon Craig,"
Comedy, Drama            ",14.26
499,Hunt for the Wilderpeople,2016,7.9,81,89060,101,Taika Waititi,"
Adventure, Comedy, Drama            ",5.2
500,The Huntsman: Winter's War,2016,6.1,35,88747,114,Cedric Nicolas-Troyan,"
Action, Adventure, Drama            ",48.39
501,Fences,2016,7.2,79,88034,139,Denzel Washington,"
Drama            ",57.64
502,Money Monster,2016,6.5,55,87528,98,Jodie Foster,"
Crime, Drama, Thriller            ",41.01
503,Silence,2016,7.2,79,86531,161,Martin Scorsese,"
Drama, History            ",7.08
504,Grimsby,2016,6.2,44,83165,83,Louis Leterrier,"
Action, Adventure, Comedy            ",6.86
505,Ah-ga-ssi,2016,8.1,84,81767,145,Chan-wook Park,"
Drama, Romance, Thriller            ",2.01
506,Hush,2016,6.6,67,81462,82,Mike Flanagan,"
Horror, Thriller            ",0.01
507,The Purge: Election Year,2016,6.0,55,81232,108,James DeMonaco,"
Action, Horror, Sci-Fi            ",79.0
508,Alice Through the Looking Glass,2016,6.2,34,81163,113,James Bobin,"
Adventure, Family, Fantasy            ",77.04
509,Collateral Beauty,2016,6.8,23,79815,97,David Frankel,"
Drama, Romance            ",30.98
510,The Autopsy of Jane Doe,2016,6.8,65,78803,86,André Øvredal,"
Horror, Mystery, Thriller            ",0.01
511,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,78062,112,Dave Green,"
Action, Adventure, Comedy            ",82.05
512,Patriots Day,2016,7.4,69,77498,133,Peter Berg,"
Action, Crime, Drama            ",31.89
513,Mike and Dave Need Wedding Dates,2016,6.0,51,75923,98,Jake Szymanski,"
Adventure, Comedy, Romance            ",46.01
514,Resident Evil: The Final Chapter,2016,5.6,49,75868,107,Paul W.S. Anderson,"
Action, Horror, Sci-Fi            ",26.83
515,Sing Street,2016,8.0,79,75652,106,John Carney,"
Comedy, Drama, Music            ",3.24
516,How to Be Single,2016,6.1,51,75044,110,Christian Ditter,"
Comedy, Drama, Romance            ",46.81
517,The Neon Demon,2016,6.2,51,73897,117,Nicolas Winding Refn,"
Horror, Thriller            ",1.33
518,A Cure for Wellness,2016,6.4,47,72011,146,Gore Verbinski,"
Drama, Fantasy, Horror            ",8.11
519,A Monster Calls,2016,7.5,76,71654,108,J.A. Bayona,"
Animation, Drama, Fantasy            ",3.73
520,Angry Birds,2016,6.3,43,70705,97,"
Clay Kaytis, 
Fergal Reilly","
Animation, Action, Comedy            ",107.51
521,The BFG,2016,6.4,66,70074,117,Steven Spielberg,"
Adventure, Family, Fantasy            ",55.48
522,The Boy,2016,6.0,42,69866,97,William Brent Bell,"
Horror, Mystery, Thriller            ",35.79
523,Midnight Special,2016,6.6,76,68564,112,Jeff Nichols,"
Action, Drama, Mystery            ",3.71
